Stock Symbol,Stock Market,Stock Name,INDEX
PNC,NYSE/NASDAQ,PNC Financial Services,['S&P 500']
PNR,NYSE/NASDAQ,Pentair,['S&P 500']
PNW,NYSE/NASDAQ,Pinnacle West Capital,['S&P 500']
PODD,NYSE/NASDAQ,Insulet Corporation,['S&P 500']
POLICYBZR,NSE,PB Fintech Ltd.,['NIFTY500']
POLYCAB,NSE,Polycab India Ltd.,['NIFTY500']
POLYMED,NSE,Poly Medicure Ltd.,['NIFTY500']
POOL,NYSE/NASDAQ,Pool Corporation,['S&P 500']
POONAWALLA,NSE,Poonawalla Fincorp Ltd.,['NIFTY500']
POWERGRID,NSE,Power Grid Corporation of India Ltd.,"['NIFTY50', 'NIFTY500']"
POWERINDIA,NSE,Hitachi Energy India Ltd.,['NIFTY500']
PPG,NYSE/NASDAQ,PPG Industries,['S&P 500']
PPL,NYSE/NASDAQ,PPL Corporation,['S&P 500']
PPLPHARMA,NSE,Piramal Pharma Ltd.,"['NIFTY500', 'NIFTY_HEALTH_CARE']"
PREMIERENE,NSE,Premier Energies Ltd.,['NIFTY500']
PRESTIGE,NSE,Prestige Estates Projects Ltd.,['NIFTY500']
PRU,NYSE/NASDAQ,Prudential Financial,['S&P 500']
PSA,NYSE/NASDAQ,Public Storage,['S&P 500']
PSKY,NYSE/NASDAQ,Paramount Skydance Corporation,['S&P 500']
PSX,NYSE/NASDAQ,Phillips 66,['S&P 500']
PTC,NYSE/NASDAQ,PTC Inc.,['S&P 500']
PTCIL,NSE,PTC Industries Ltd.,['NIFTY500']
PVRINOX,NSE,PVR INOX Ltd.,['NIFTY500']
PWL,NSE,Physicswallah Ltd.,['NIFTY500']
PWR,NYSE/NASDAQ,Quanta Services,['S&P 500']
PYPL,NYSE/NASDAQ,PayPal,['S&P 500']
Q,NYSE/NASDAQ,Qnity Electronics,['S&P 500']
QCOM,NYSE/NASDAQ,Qualcomm,['S&P 500']
RADICO,NSE,Radico Khaitan Ltd,"['NIFTY500', 'NIFTY_FMCG']"
RAILTEL,NSE,Railtel Corporation Of India Ltd.,['NIFTY500']
RAINBOW,NSE,Rainbow Childrens Medicare Ltd.,['NIFTY500']
RAMCOCEM,NSE,The Ramco Cements Ltd.,['NIFTY500']
RBLBANK,NSE,RBL Bank Ltd.,['NIFTY500']
RCL,NYSE/NASDAQ,Royal Caribbean Group,['S&P 500']
RECLTD,NSE,REC Ltd.,"['NIFTY500', 'NIFTY_FINANCIAL_SERVICES']"
REDINGTON,NSE,Redington Ltd.,['NIFTY500']
REG,NYSE/NASDAQ,Regency Centers,['S&P 500']
REGN,NYSE/NASDAQ,Regeneron Pharmaceuticals,['S&P 500']
RELIANCE,NSE,Reliance Industries Ltd.,"['NIFTY50', 'NIFTY500']"
RF,NYSE/NASDAQ,Regions Financial Corporation,['S&P 500']
RHIM,NSE,RHI MAGNESITA INDIA LTD.,['NIFTY500']
RITES,NSE,RITES Ltd.,['NIFTY500']
RJF,NYSE/NASDAQ,Raymond James Financial,['S&P 500']
RKFORGE,NSE,Ramkrishna Forgings Ltd.,['NIFTY500']
RL,NYSE/NASDAQ,Ralph Lauren Corporation,['S&P 500']
RMD,NYSE/NASDAQ,ResMed,['S&P 500']
ROK,NYSE/NASDAQ,Rockwell Automation,['S&P 500']
ROL,NYSE/NASDAQ,"Rollins, Inc.",['S&P 500']
ROP,NYSE/NASDAQ,Roper Technologies,['S&P 500']
ROST,NYSE/NASDAQ,Ross Stores,['S&P 500']
RPOWER,NSE,Reliance Power Ltd.,['NIFTY500']
RRKABEL,NSE,R R Kabel Ltd.,['NIFTY500']
RSG,NYSE/NASDAQ,Republic Services,['S&P 500']
RTX,NYSE/NASDAQ,RTX Corporation,['S&P 500']
RVNL,NSE,Rail Vikas Nigam Ltd.,['NIFTY500']
RVTY,NYSE/NASDAQ,Revvity,['S&P 500']
SAGILITY,NSE,Sagility Ltd.,['NIFTY500']
SAIL,NSE,Steel Authority of India Ltd.,['NIFTY500']
SAILIFE,NSE,Sai Life Sciences Ltd.,['NIFTY500']
SAMMAANCAP,NSE,Sammaan Capital Ltd.,['NIFTY500']
SAPPHIRE,NSE,Sapphire Foods India Ltd.,['NIFTY500']
SARDAEN,NSE,Sarda Energy and Minerals Ltd.,['NIFTY500']
SAREGAMA,NSE,Saregama India Ltd,['NIFTY500']
SATS,NYSE/NASDAQ,EchoStar,['S&P 500']
SBAC,NYSE/NASDAQ,SBA Communications,['S&P 500']
SBFC,NSE,SBFC Finance Ltd.,['NIFTY500']
SBICARD,NSE,SBI Cards and Payment Services Ltd.,"['NIFTY500', 'NIFTY_FINANCIAL_SERVICES']"
SBILIFE,NSE,SBI Life Insurance Company Ltd.,"['NIFTY50', 'NIFTY500', 'NIFTY_FINANCIAL_SERVICES']"
SBIN,NSE,State Bank of India,"['NIFTY50', 'NIFTY500', 'NIFTY_BANK', 'NIFTY_FINANCIAL_SERVICES']"
SBUX,NYSE/NASDAQ,Starbucks,['S&P 500']
SCHAEFFLER,NSE,Schaeffler India Ltd.,['NIFTY500']
SCHNEIDER,NSE,Schneider Electric Infrastructure Ltd.,['NIFTY500']
SCHW,NYSE/NASDAQ,Charles Schwab Corporation,['S&P 500']
SCI,NSE,Shipping Corporation of India Ltd.,['NIFTY500']
SHREECEM,NSE,Shree Cement Ltd.,['NIFTY500']
SHRIRAMFIN,NSE,Shriram Finance Ltd.,"['NIFTY50', 'NIFTY500', 'NIFTY_FINANCIAL_SERVICES']"
SHW,NYSE/NASDAQ,Sherwin-Williams,"['DOW JONES', 'S&P 500']"
SHYAMMETL,NSE,Shyam Metalics and Energy Ltd.,['NIFTY500']
SIEMENS,NSE,Siemens Ltd.,['NIFTY500']
SIGNATURE,NSE,Signatureglobal (India) Ltd.,['NIFTY500']
SJM,NYSE/NASDAQ,The J.M. Smucker Company,['S&P 500']
SJVN,NSE,SJVN Ltd.,['NIFTY500']
SLB,NYSE/NASDAQ,Schlumberger,['S&P 500']
SMCI,NYSE/NASDAQ,Supermicro,['S&P 500']
SNA,NYSE/NASDAQ,Snap-on,['S&P 500']
SNDK,NYSE/NASDAQ,Sandisk,['S&P 500']
SNPS,NYSE/NASDAQ,Synopsys,['S&P 500']
SO,NYSE/NASDAQ,Southern Company,['S&P 500']
SOBHA,NSE,Sobha Ltd.,['NIFTY500']
SOLARINDS,NSE,Solar Industries India Ltd.,"['NIFTY500', 'NIFTY_CHEMICALS']"
SOLV,NYSE/NASDAQ,Solventum,['S&P 500']
SONACOMS,NSE,Sona BLW Precision Forgings Ltd.,"['NIFTY500', 'NIFTY_AUTO']"
SONATSOFTW,NSE,Sonata Software Ltd.,['NIFTY500']
SPG,NYSE/NASDAQ,Simon Property Group,['S&P 500']
SPGI,NYSE/NASDAQ,S&P Global,['S&P 500']
SPLPETRO,NSE,Supreme Petrochem Ltd.,['NIFTY500']
SRE,NYSE/NASDAQ,Sempra,['S&P 500']
SRF,NSE,SRF Ltd.,"['NIFTY500', 'NIFTY_CHEMICALS']"
STARHEALTH,NSE,Star Health and Allied Insurance Company Ltd.,['NIFTY500']
STE,NYSE/NASDAQ,Steris,['S&P 500']
STLD,NYSE/NASDAQ,Steel Dynamics,['S&P 500']
STT,NYSE/NASDAQ,State Street Corporation,['S&P 500']
STX,NYSE/NASDAQ,Seagate Technology,['S&P 500']
STZ,NYSE/NASDAQ,Constellation Brands,['S&P 500']
SUMICHEM,NSE,Sumitomo Chemical India Ltd.,"['NIFTY500', 'NIFTY_CHEMICALS']"
SUNDARMFIN,NSE,Sundaram Finance Ltd.,['NIFTY500']
SUNPHARMA,NSE,Sun Pharmaceutical Industries Ltd.,"['NIFTY50', 'NIFTY500', 'NIFTY_HEALTH_CARE']"
SUNTV,NSE,Sun TV Network Ltd.,['NIFTY500']
SUPREMEIND,NSE,Supreme Industries Ltd.,['NIFTY500']
SUZLON,NSE,Suzlon Energy Ltd.,['NIFTY500']
SW,NYSE/NASDAQ,Smurfit Westrock,['S&P 500']
SWANCORP,NSE,Swan Corp Ltd.,['NIFTY500']
SWIGGY,NSE,Swiggy Ltd.,['NIFTY500']
SWK,NYSE/NASDAQ,Stanley Black & Decker,['S&P 500']
SWKS,NYSE/NASDAQ,Skyworks Solutions,['S&P 500']
SYF,NYSE/NASDAQ,Synchrony Financial,['S&P 500']
SYK,NYSE/NASDAQ,Stryker Corporation,['S&P 500']
SYNGENE,NSE,Syngene International Ltd.,"['NIFTY500', 'NIFTY_HEALTH_CARE']"
SYRMA,NSE,Syrma SGS Technology Ltd.,['NIFTY500']
SYY,NYSE/NASDAQ,Sysco,['S&P 500']
T,NYSE/NASDAQ,AT&T,['S&P 500']
TAP,NYSE/NASDAQ,Molson Coors Beverage Company,['S&P 500']
TARIL,NSE,Transformers And Rectifiers (India) Ltd.,['NIFTY500']
TATACAP,NSE,Tata Capital Ltd.,['NIFTY500']
TATACHEM,NSE,Tata Chemicals Ltd.,"['NIFTY500', 'NIFTY_CHEMICALS']"
TATACOMM,NSE,Tata Communications Ltd.,['NIFTY500']
TATACONSUM,NSE,Tata Consumer Products Ltd.,"['NIFTY50', 'NIFTY500', 'NIFTY_FMCG']"
TATAELXSI,NSE,Tata Elxsi Ltd.,['NIFTY500']
TATAINVEST,NSE,Tata Investment Corporation Ltd.,['NIFTY500']
TATAPOWER,NSE,Tata Power Co. Ltd.,['NIFTY500']
TATASTEEL,NSE,Tata Steel Ltd.,"['NIFTY50', 'NIFTY500']"
TATATECH,NSE,Tata Technologies Ltd.,['NIFTY500']
TBOTEK,NSE,TBO Tek Ltd.,['NIFTY500']
TCS,NSE,Tata Consultancy Services Ltd.,"['NIFTY50', 'NIFTY500', 'NIFTY_IT']"
TDG,NYSE/NASDAQ,TransDigm Group,['S&P 500']
TDY,NYSE/NASDAQ,Teledyne Technologies,['S&P 500']
TECH,NYSE/NASDAQ,Bio-Techne,['S&P 500']
TECHM,NSE,Tech Mahindra Ltd.,"['NIFTY50', 'NIFTY500', 'NIFTY_IT']"
TECHNOE,NSE,Techno Electric & Engineering Company Ltd.,['NIFTY500']
TEGA,NSE,Tega Industries Ltd.,['NIFTY500']
TEJASNET,NSE,Tejas Networks Ltd.,['NIFTY500']
TEL,NYSE/NASDAQ,TE Connectivity,['S&P 500']
TENNIND,NSE,Tenneco Clean Air India Ltd.,['NIFTY500']
TER,NYSE/NASDAQ,Teradyne,['S&P 500']
TFC,NYSE/NASDAQ,Truist Financial,['S&P 500']
TGT,NYSE/NASDAQ,Target Corporation,['S&P 500']
THELEELA,NSE,Leela Palaces Hotels & Resorts Ltd.,['NIFTY500']
THERMAX,NSE,Thermax Ltd.,['NIFTY500']
TIINDIA,NSE,Tube Investments of India Ltd.,"['NIFTY500', 'NIFTY_AUTO']"
TIMKEN,NSE,Timken India Ltd.,['NIFTY500']
TITAGARH,NSE,Titagarh Rail Systems Ltd.,['NIFTY500']
TITAN,NSE,Titan Company Ltd.,"['NIFTY50', 'NIFTY500']"
TJX,NYSE/NASDAQ,TJX Companies,['S&P 500']
TKO,NYSE/NASDAQ,TKO Group Holdings,['S&P 500']
TMCV,NSE,Tata Motors Ltd.,['NIFTY500']
TMO,NYSE/NASDAQ,Thermo Fisher Scientific,['S&P 500']
TMPV,NSE,Tata Motors Passenger Vehicles Ltd.,"['NIFTY50', 'NIFTY500', 'NIFTY_AUTO']"
TMUS,NYSE/NASDAQ,T-Mobile US,['S&P 500']
TORNTPHARM,NSE,Torrent Pharmaceuticals Ltd.,"['NIFTY500', 'NIFTY_HEALTH_CARE']"
TORNTPOWER,NSE,Torrent Power Ltd.,['NIFTY500']
TPL,NYSE/NASDAQ,Texas Pacific Land Corporation,['S&P 500']
TPR,NYSE/NASDAQ,"Tapestry, Inc.",['S&P 500']
TRAVELFOOD,NSE,Travel Food Services Ltd.,['NIFTY500']
TRENT,NSE,Trent Ltd.,"['NIFTY50', 'NIFTY500']"
TRGP,NYSE/NASDAQ,Targa Resources,['S&P 500']
TRIDENT,NSE,Trident Ltd.,['NIFTY500']
TRITURBINE,NSE,Triveni Turbine Ltd.,['NIFTY500']
TRMB,NYSE/NASDAQ,Trimble Inc.,['S&P 500']
TROW,NYSE/NASDAQ,T. Rowe Price,['S&P 500']
TRV,NYSE/NASDAQ,The Travelers Companies,"['DOW JONES', 'S&P 500']"
TSCO,NYSE/NASDAQ,Tractor Supply,['S&P 500']
TSLA,NYSE/NASDAQ,"Tesla, Inc.",['S&P 500']
TSN,NYSE/NASDAQ,Tyson Foods,['S&P 500']
TT,NYSE/NASDAQ,Trane Technologies,['S&P 500']
TTD,NYSE/NASDAQ,The Trade Desk,['S&P 500']
TTML,NSE,Tata Teleservices (Maharashtra) Ltd.,['NIFTY500']
TTWO,NYSE/NASDAQ,Take-Two Interactive,['S&P 500']
TVSMOTOR,NSE,TVS Motor Company Ltd.,"['NIFTY500', 'NIFTY_AUTO']"
TXN,NYSE/NASDAQ,Texas Instruments,['S&P 500']
TXT,NYSE/NASDAQ,Textron,['S&P 500']
TYL,NYSE/NASDAQ,Tyler Technologies,['S&P 500']
UAL,NYSE/NASDAQ,United Airlines Holdings,['S&P 500']
UBER,NYSE/NASDAQ,Uber,['S&P 500']
UBL,NSE,United Breweries Ltd.,"['NIFTY500', 'NIFTY_FMCG']"
UCOBANK,NSE,UCO Bank,['NIFTY500']
UDR,NYSE/NASDAQ,"UDR, Inc.",['S&P 500']
UHS,NYSE/NASDAQ,Universal Health Services,['S&P 500']
ULTA,NYSE/NASDAQ,Ulta Beauty,['S&P 500']
ULTRACEMCO,NSE,UltraTech Cement Ltd.,"['NIFTY50', 'NIFTY500']"
UNH,NYSE/NASDAQ,UnitedHealth Group,"['DOW JONES', 'S&P 500']"
UNIONBANK,NSE,Union Bank of India,"['NIFTY500', 'NIFTY_BANK']"
UNITDSPR,NSE,United Spirits Ltd.,"['NIFTY500', 'NIFTY_FMCG']"
UNOMINDA,NSE,UNO Minda Ltd.,"['NIFTY500', 'NIFTY_AUTO']"
UNP,NYSE/NASDAQ,Union Pacific Corporation,['S&P 500']
UPL,NSE,UPL Ltd.,"['NIFTY500', 'NIFTY_CHEMICALS']"
UPS,NYSE/NASDAQ,United Parcel Service,['S&P 500']
URBANCO,NSE,Urban Company Ltd.,['NIFTY500']
URI,NYSE/NASDAQ,United Rentals,['S&P 500']
USB,NYSE/NASDAQ,U.S. Bancorp,['S&P 500']
USHAMART,NSE,Usha Martin Ltd.,['NIFTY500']
UTIAMC,NSE,UTI Asset Management Company Ltd.,['NIFTY500']
V,NYSE/NASDAQ,Visa Inc.,"['DOW JONES', 'S&P 500']"
VBL,NSE,Varun Beverages Ltd.,"['NIFTY500', 'NIFTY_FMCG']"
VEDL,NSE,Vedanta Ltd.,['NIFTY500']
VICI,NYSE/NASDAQ,Vici Properties,['S&P 500']
VIJAYA,NSE,Vijaya Diagnostic Centre Ltd.,['NIFTY500']
VLO,NYSE/NASDAQ,Valero Energy,['S&P 500']
VLTO,NYSE/NASDAQ,Veralto,['S&P 500']
VMC,NYSE/NASDAQ,Vulcan Materials Company,['S&P 500']
VMM,NSE,Vishal Mega Mart Ltd.,['NIFTY500']
VOLTAS,NSE,Voltas Ltd.,['NIFTY500']
VRSK,NYSE/NASDAQ,Verisk Analytics,['S&P 500']
VRSN,NYSE/NASDAQ,Verisign,['S&P 500']
VRT,NYSE/NASDAQ,Vertiv,['S&P 500']
VRTX,NYSE/NASDAQ,Vertex Pharmaceuticals,['S&P 500']
VST,NYSE/NASDAQ,Vistra Corp.,['S&P 500']
VTL,NSE,Vardhman Textiles Ltd.,['NIFTY500']
VTR,NYSE/NASDAQ,Ventas,['S&P 500']
VTRS,NYSE/NASDAQ,Viatris,['S&P 500']
VZ,NYSE/NASDAQ,Verizon,"['DOW JONES', 'S&P 500']"
WAAREEENER,NSE,Waaree Energies Ltd.,['NIFTY500']
WAB,NYSE/NASDAQ,Wabtec,['S&P 500']
WAT,NYSE/NASDAQ,Waters Corporation,['S&P 500']
WBD,NYSE/NASDAQ,Warner Bros. Discovery,['S&P 500']
WDAY,NYSE/NASDAQ,"Workday, Inc.",['S&P 500']
WDC,NYSE/NASDAQ,Western Digital,['S&P 500']
WEC,NYSE/NASDAQ,WEC Energy Group,['S&P 500']
WELCORP,NSE,Welspun Corp Ltd.,['NIFTY500']
WELL,NYSE/NASDAQ,Welltower,['S&P 500']
WELSPUNLIV,NSE,Welspun Living Ltd.,['NIFTY500']
WFC,NYSE/NASDAQ,Wells Fargo,['S&P 500']
WHIRLPOOL,NSE,Whirlpool of India Ltd.,['NIFTY500']
WIPRO,NSE,Wipro Ltd.,"['NIFTY50', 'NIFTY500', 'NIFTY_IT']"
WM,NYSE/NASDAQ,Waste Management,['S&P 500']
WMB,NYSE/NASDAQ,Williams Companies,['S&P 500']
WMT,NYSE/NASDAQ,Walmart,"['DOW JONES', 'S&P 500']"
WOCKPHARMA,NSE,Wockhardt Ltd.,['NIFTY500']
WRB,NYSE/NASDAQ,W. R. Berkley Corporation,['S&P 500']
WSM,NYSE/NASDAQ,"Williams-Sonoma, Inc.",['S&P 500']
WST,NYSE/NASDAQ,West Pharmaceutical Services,['S&P 500']
WTW,NYSE/NASDAQ,Willis Towers Watson,['S&P 500']
WY,NYSE/NASDAQ,Weyerhaeuser,['S&P 500']
WYNN,NYSE/NASDAQ,Wynn Resorts,['S&P 500']
XEL,NYSE/NASDAQ,Xcel Energy,['S&P 500']
XOM,NYSE/NASDAQ,ExxonMobil,['S&P 500']
XYL,NYSE/NASDAQ,Xylem Inc.,['S&P 500']
XYZ,NYSE/NASDAQ,"Block, Inc.",['S&P 500']
YESBANK,NSE,Yes Bank Ltd.,"['NIFTY500', 'NIFTY_BANK']"
YUM,NYSE/NASDAQ,Yum! Brands,['S&P 500']
ZBH,NYSE/NASDAQ,Zimmer Biomet,['S&P 500']
ZBRA,NYSE/NASDAQ,Zebra Technologies,['S&P 500']
ZEEL,NSE,Zee Entertainment Enterprises Ltd.,['NIFTY500']
ZENSARTECH,NSE,Zensar Technolgies Ltd.,['NIFTY500']
ZENTEC,NSE,Zen Technologies Ltd.,['NIFTY500']
ZFCVINDIA,NSE,ZF Commercial Vehicle Control Systems India Ltd.,['NIFTY500']
ZTS,NYSE/NASDAQ,Zoetis,['S&P 500']
ZYDUSLIFE,NSE,Zydus Lifesciences Ltd.,"['NIFTY500', 'NIFTY_HEALTH_CARE']"
ZYDUSWELL,NSE,Zydus Wellness Ltd.,['NIFTY500']
