Stock Symbol,Stock Market,Stock Name,INDEX
HST,NYSE/NASDAQ,Host Hotels & Resorts,['S&P 500']
HSY,NYSE/NASDAQ,The Hershey Company,['S&P 500']
HUBB,NYSE/NASDAQ,Hubbell Incorporated,['S&P 500']
HUDCO,NSE,Housing & Urban Development Corporation Ltd.,['NIFTY500']
HUM,NYSE/NASDAQ,Humana,['S&P 500']
HWM,NYSE/NASDAQ,Howmet Aerospace,['S&P 500']
HYUNDAI,NSE,Hyundai Motor India Ltd.,['NIFTY500']
IBKR,NYSE/NASDAQ,Interactive Brokers,['S&P 500']
IBM,NYSE/NASDAQ,IBM,"['DOW JONES', 'S&P 500']"
ICE,NYSE/NASDAQ,Intercontinental Exchange,['S&P 500']
ICICIAMC,NSE,ICICI Prudential Asset Management Company Ltd.,['NIFTY500']
ICICIBANK,NSE,ICICI Bank Ltd.,"['NIFTY50', 'NIFTY500', 'NIFTY_BANK', 'NIFTY_FINANCIAL_SERVICES']"
ICICIGI,NSE,ICICI Lombard General Insurance Company Ltd.,"['NIFTY500', 'NIFTY_FINANCIAL_SERVICES']"
ICICIPRULI,NSE,ICICI Prudential Life Insurance Company Ltd.,['NIFTY500']
IDBI,NSE,IDBI Bank Ltd.,['NIFTY500']
IDEA,NSE,Vodafone Idea Ltd.,['NIFTY500']
IDFCFIRSTB,NSE,IDFC First Bank Ltd.,"['NIFTY500', 'NIFTY_BANK']"
IDXX,NYSE/NASDAQ,Idexx Laboratories,['S&P 500']
IEX,NSE,Indian Energy Exchange Ltd.,['NIFTY500']
IEX,NYSE/NASDAQ,IDEX Corporation,['S&P 500']
IFCI,NSE,IFCI Ltd.,['NIFTY500']
IFF,NYSE/NASDAQ,International Flavors & Fragrances,['S&P 500']
IGIL,NSE,International Gemmological Institute (India) Ltd.,['NIFTY500']
IGL,NSE,Indraprastha Gas Ltd.,['NIFTY500']
IIFL,NSE,IIFL Finance Ltd.,['NIFTY500']
IKS,NSE,Inventurus Knowledge Solutions Ltd.,['NIFTY500']
INCY,NYSE/NASDAQ,Incyte,['S&P 500']
INDGN,NSE,Indegene Ltd.,['NIFTY500']
INDHOTEL,NSE,Indian Hotels Co. Ltd.,['NIFTY500']
INDIACEM,NSE,India Cements Ltd.,['NIFTY500']
INDIAMART,NSE,Indiamart Intermesh Ltd.,['NIFTY500']
INDIANB,NSE,Indian Bank,['NIFTY500']
INDIGO,NSE,InterGlobe Aviation Ltd.,"['NIFTY50', 'NIFTY500']"
INDUSINDBK,NSE,IndusInd Bank Ltd.,"['NIFTY500', 'NIFTY_BANK']"
INDUSTOWER,NSE,Indus Towers Ltd.,['NIFTY500']
INFY,NSE,Infosys Ltd.,"['NIFTY50', 'NIFTY500', 'NIFTY_IT']"
INOXWIND,NSE,Inox Wind Ltd.,['NIFTY500']
INTC,NYSE/NASDAQ,Intel,['S&P 500']
INTELLECT,NSE,Intellect Design Arena Ltd.,['NIFTY500']
INTU,NYSE/NASDAQ,Intuit,['S&P 500']
INVH,NYSE/NASDAQ,Invitation Homes,['S&P 500']
IOB,NSE,Indian Overseas Bank,['NIFTY500']
IOC,NSE,Indian Oil Corporation Ltd.,['NIFTY500']
IP,NYSE/NASDAQ,International Paper,['S&P 500']
IPCALAB,NSE,Ipca Laboratories Ltd.,"['NIFTY500', 'NIFTY_HEALTH_CARE']"
IQV,NYSE/NASDAQ,IQVIA,['S&P 500']
IR,NYSE/NASDAQ,Ingersoll Rand,['S&P 500']
IRB,NSE,IRB Infrastructure Developers Ltd.,['NIFTY500']
IRCON,NSE,IRCON International Ltd.,['NIFTY500']
IRCTC,NSE,Indian Railway Catering And Tourism Corporation Ltd.,['NIFTY500']
IREDA,NSE,Indian Renewable Energy Development Agency Ltd.,['NIFTY500']
IRFC,NSE,Indian Railway Finance Corporation Ltd.,['NIFTY500']
IRM,NYSE/NASDAQ,Iron Mountain,['S&P 500']
ISRG,NYSE/NASDAQ,Intuitive Surgical,['S&P 500']
IT,NYSE/NASDAQ,Gartner,['S&P 500']
ITC,NSE,ITC Ltd.,"['NIFTY50', 'NIFTY500', 'NIFTY_FMCG']"
ITCHOTELS,NSE,ITC Hotels Ltd.,['NIFTY500']
ITI,NSE,ITI Ltd.,['NIFTY500']
ITW,NYSE/NASDAQ,Illinois Tool Works,['S&P 500']
IVZ,NYSE/NASDAQ,Invesco,['S&P 500']
J,NYSE/NASDAQ,Jacobs Solutions,['S&P 500']
J&KBANK,NSE,Jammu & Kashmir Bank Ltd.,['NIFTY500']
JAINREC,NSE,Jain Resource Recycling Ltd.,['NIFTY500']
JBCHEPHARM,NSE,J.B. Chemicals & Pharmaceuticals Ltd.,['NIFTY500']
JBHT,NYSE/NASDAQ,J.B. Hunt,['S&P 500']
JBL,NYSE/NASDAQ,Jabil,['S&P 500']
JBMA,NSE,JBM Auto Ltd.,['NIFTY500']
JCI,NYSE/NASDAQ,Johnson Controls,['S&P 500']
JINDALSAW,NSE,Jindal Saw Ltd.,['NIFTY500']
JINDALSTEL,NSE,Jindal Steel Ltd.,['NIFTY500']
