ScripID,ScripCode,ScripName,OurSectorClassification
503699,GEOD LTD    ,Geod Ltd     (Bse Code: 503699 ),IT
506074,ARSHYIA INTL,Arshyia Intl (Bse Code: 506074 ),Courier and Logistic Services
504903,RATHI ST    ,Rathi St     (Bse Code: 504903 ),Steel
511074,WEIZMANN FIN,Weizmann Fin,Financial Services
505212,JAINEX      ,Jainex      ,Engineering
511740,MEHTA HOUSIN,Mehta Housin,Housing Finance
945845,KOTAKSEC20  ,Kotaksec20  ,Un classified
530403,VALLABH POLY,Vallabh Poly,Packaging
508993,KEDIA CONST ,Kedia Const ,Construction and Building Materials
517170,KLKELEC     ,Klkelec     ,Others
533204,MANDHANA    ,Mandhana    ,Textile
570003,GUJNREBNDVR ,Gujnrebndvr ,Mining
531352,PEETI SECURT,Peeti Securt,Financial Services
526067,KOSHA C.CONT,Kosha C.Cont,Packaging
945746,ECL28APR08  ,Ecl28apr08  ,Un classified
934805,STF NCD5 RE ,Stf Ncd5 Re ,Un classified
750484,ECEINDLR    ,Eceindlr    ,Un classified
532522,PETRONET LNG,Petronet LNG Ltd. (BSE code:532522)   ,Oil and Gas
500333,PIX TRANS   ,Pix Trans    (Bse Code: 500333 ),Power
532084,FAST TRACK E,FAST TRAC EN (BSE code:532084)   ,Financial Services
517264,FINELINE CI ,Fine Line Circuits Ltd(NDA) (BSE code:517264)   ,Others
532726,GALLAN METAL,Gallantt Metal Limited (BSE code:532726)   ,Steel
514460,OSWAL YARNS ,OSWAL YARNS (BSE code:514460)   ,Textile
511306,PAL CREDIT  ,Pal Credit   (Bse Code: 511306 ),Financial Services
532976,JAIBALA IND ,JAIBALA IND (BSE code:532976)   ,Steel
590079,JOONKTOLLEE ,JOONKTOLLEE (BSE code:590079)   ,Agricultural Related
504076,JYOTI LTD.  ,Jyoti Ltd.   (Bse Code: 504076 ),Engineering
500179,HCL INFOSYS ,Hcl Infosys  (Bse Code: 500179 ),IT
520026,HELLA IND   ,Hella India Lighting Ltd (BSE code:520026)   ,Auto Ancillaries
501295,INDUS.INV.TR,Indus.Inv.Tr (Bse Code: 501295 ),Financial Services
912453,Noida Toll D,Noida Toll D,Un classified
945790,Ecl11jul08  ,Ecl11jul08  ,Un classified
946198,Edlsrf0f906 ,Edlsrf0f906 ,Un classified
934801,Stf Ncd3 Ot ,Stf Ncd3 Ot ,Un classified
507609,Olympic Oil ,Olympic Oil ,Food Processing
533137,DEN NETWORK ,Den Network  (Bse Code: 533137 ),Media and Entertainment
533244,Iciciprugetf,Iciciprugetf,Financial Services
505232,DENISON HYD.,Denison Hyd. (Bse Code: 505232 ),Auto Ancillaries
514418,DUJODW.PROD.,DUJODWA PROD (BSE code:514418)   ,Chemicals
500125,E.I.D.PAR   ,E.I.D.Par    (Bse Code: 500125 ),Diversified
533099,PROVOGUEIND* (BSE code:533099)   ,PROVOGUEIND* (BSE code:533099)   ,Textile
506248,AMINES&PLAST,Amines&Plast (Bse Code: 506248 ),Chemicals
532447,SOLVAY PHAR.,Solvay Pharma India Ltd. (BSE code:532447)   ,Pharmaceuticals
532457,GULSHAN POLY,Gulshan Polyols Ltd (BSE code:532457)   ,Chemicals
532460,PONNI SUG(ER,Ponni Sugars (Erode) Limited (BSE code:532460)   ,Sugar
532470,MATHER & PLA,MATHER & PLATT FIR INR10 (BSE code:532470)   ,Engineering
532482,GRANULES (I),Granules India Ltd. (BSE code:532482)   ,Pharmaceuticals
532483,CANARA BANK ,Canara Bank (BSE code:532483)   ,Banks
524743,Fischer     ,Fischer     ,Chemicals
531867,Unitech Inte,Unitech Inte,Un classified
972368,Pidbstrppj  ,Pidbstrppj  ,Un classified
518075,Suraj Produc,Suraj Produc,Cement
934797,Stf Ncd2 Ur ,Stf Ncd2 Ur ,Un classified
532517,PATNI COMP  ,Patni Computer Systems Ltd (BSE code:532517)   ,IT
532526,DISHMAN PHAR,Dishman Pharmaceuticals & Chemicals Ltd. (BSE code:532526)   ,Pharmaceuticals
532529,NDTV        ,New Delhi Television Limited (BSE code:532529)   ,Media and Entertainment
532537,LUMAX AUTO  ,Lumax Automotive Systems Limited (BSE code:532537)   ,Auto Ancillaries
532542,CREW BOS    ,Crew B.O.S. Products Ltd. (BSE code:532542)   ,Others
532544,INDIABULLS  ,Indiabulls Financial Services Limited (BSE code:532544)   ,Financial Services
532605,JBM AUTO    ,J B M Auto Ltd(NDA) (BSE code:532605)   ,Auto Ancillaries
532608,DECCAN CHR  ,Deccan Chronicle Holdings Ltd. (BSE code:532608)   ,Media and Entertainment
532623,NR INTERNA  ,NR INTERNA (BSE code:532623)   ,Steel
532629,MCNALLYB    ,McNally Bharat Engineering Company Ltd. (BSE code:532629)   ,Engineering
532637,MAN DRUGORG ,Mangalam Drugs and Organics Limited (BSE code:532637)   ,Pharmaceuticals
532646,UNIPLY IND  ,Uniply Industries Ltd(NDA) (BSE code:532646)   ,Construction and Building Materials
532651,SPL INDS    ,SPL Industries Ltd(NDA) (BSE code:532651)   ,Textile
532657,FACOR STEELS,Facor Steels Limited (BSE code:532657)   ,Steel
532663,SASKEN COMM ,Sasken Communication Technologies Ltd. (BSE code:532663)   ,IT
532666,FCS SOFTWARE,FCS Software Solutions Limited (BSE code:532666)   ,IT
532667,SUZLONENERGY,Suzlon Energy Limited (BSE code:532667)   ,Engineering
532670,RENUKA SUGAR,Shree Renuka Sugars Limited (BSE code:532670)   ,Sugar
532672,GLODYNE TECH,Glodyne Technoserve Limited (BSE code:532672)   ,IT
500780,ZUARI INDUS.,Zuari Indus. (Bse Code: 500780 ),Agricultural Related
532683,AIAENGINEER ,AIA Engineering Limited (BSE code:532683)   ,Engineering
532692,RADHA MADHAV,Radha Madhav Corporation Limited (BSE code:532692)   ,Packaging
532709,RIL NAT RES ,Reliance Natural Resources Limited (BSE code:532709)   ,Oil and Gas
532718,PRATIBHA IND,Pratibha Industries Limited (BSE code:532718)   ,Construction and Building Materials
532720,M&M FINANSER,Mahindra & Mahindra Fin. Services Ltd. (BSE code:532720)   ,Financial Services
532729,UTTAM SUGAR ,Uttam Sugar Mills Limited (BSE code:532729)   ,Sugar
532690,RAMSARUP IND,Ramsarup Industries Ltd. (BSE code:532690)   ,Steel
532987,RANE BRAKE  ,RANE BRAKE (BSE code:532987)   ,Auto Ancillaries
504212,UNIV.CABLE  ,Univ.Cable   (Bse Code: 504212 ),Power
531051,VINTAGE SECU,VINTAGE SECU (BSE code:531051)   ,Financial Services
